id,sup,tot,ht_h,ht_a,ft_h,ft_a
1364,0.02,2.25,0,0,0,0
1365,0.02,2.2,0,1,1,2
1366,0.46,2.79,1,1,3,1
1367,0.99,2.54,1,0,3,0
1368,0.67,3.19,0,1,2,3
1369,0.41,2.91,0,0,1,1
1370,0.1,2.41,0,2,3,2
1371,0.24,2.73,1,0,1,0
1372,0.32,2.2,0,1,0,1
1373,-0.08,2.62,0,0,0,1
1374,-1.23,2.78,0,0,1,1
1375,0.6,2.92,0,0,1,1
1376,-0.51,3.33,2,0,5,1
1377,-0.19,2.56,0,1,0,1
1378,-1.38,2.56,0,2,0,3
1379,0.38,2.33,0,2,0,2
1380,0.92,3,3,0,6,0
1381,-0.72,2.65,0,0,0,2
1382,-0.02,3.23,0,1,1,4
1383,0.45,2.33,0,0,0,0
1384,-0.64,3.2,0,1,0,4
1385,0.19,2.48,1,2,4,4
1386,0.31,2.89,2,1,6,1
1387,1.32,2.99,3,0,4,0
1388,1.93,2.86,0,0,1,1
1389,0.11,2.63,0,1,1,1
1390,0.68,2.36,0,0,0,0
1391,0.32,2.99,0,0,1,0
1392,0.31,2.29,2,1,2,1
1393,0.75,2.66,0,0,0,1
1394,1.92,3.29,1,0,1,0
1395,-0.66,3.07,0,0,0,0
1396,0.12,2.59,0,0,1,1
1397,-0.73,3.19,1,1,2,1
1398,0.43,2.28,1,0,2,1
1399,-0.2,2.66,1,2,1,2
1400,0.06,2.29,0,2,1,3
1401,0.28,2.88,0,0,0,0
1402,1.36,3.08,0,0,1,2
1403,0.08,2.6,0,0,1,0
1404,-0.15,2.76,0,0,2,1
1405,0.16,2.34,1,0,3,0
1406,0.33,2.94,1,0,2,0
1407,0.36,3.21,0,2,3,2
1408,0.3,2.23,1,0,2,1
1409,0.75,2.3,1,0,1,0
1410,-0.46,2.77,1,0,1,2
1411,0.47,2.25,0,1,2,1
1412,1.45,2.75,1,0,2,1
1413,-0.13,2.91,2,1,2,2
1414,0.2,2.5,1,0,2,0
1415,0.87,2.43,2,0,6,0
1416,0.78,2.54,0,1,1,3
1417,0.77,2.81,0,0,0,1
1418,0.11,3.2,1,0,1,1
1419,1.18,3.33,0,1,1,1
