,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,dow,day_count_year,day_count_ref
332759,2014-09-22 08:47:00,6184,2014-09-22 09:07:00,6085,1196,1,0.0,265,265
346977,2014-09-23 08:40:00,6184,2014-09-23 08:59:00,6085,1125,1,0.0,266,266
362398,2014-09-24 08:16:00,6184,2014-09-24 08:39:00,6085,1403,1,0.0,267,267
363221,2014-09-24 08:42:00,6184,2014-09-24 08:59:00,6085,1013,1,0.0,267,267
380656,2014-09-25 08:30:00,6184,2014-09-25 08:50:00,6085,1247,1,0.0,268,268
399113,2014-09-26 08:15:00,6184,2014-09-26 08:33:00,6085,1101,1,0.0,269,269
401980,2014-09-26 10:41:00,6184,2014-09-26 11:00:00,6085,1115,1,0.0,269,269
414079,2014-09-26 20:31:00,6184,2014-09-26 21:06:00,6085,2052,1,0.0,269,269
426117,2014-09-27 16:39:00,6184,2014-09-27 17:05:00,6085,1553,1,0.0,270,270
444395,2014-09-28 19:09:00,6184,2014-09-28 19:43:00,6085,2041,1,0.0,271,271
448441,2014-09-29 08:14:00,6184,2014-09-29 08:34:00,6085,1217,1,0.0,272,272
449090,2014-09-29 08:32:00,6184,2014-09-29 08:50:00,6085,1072,1,0.0,272,272
464002,2014-09-30 08:26:00,6184,2014-09-30 08:45:00,6085,1116,1,0.0,273,273
2137,2014-10-01 08:22:00,6184,2014-10-01 08:44:00,6085,1314,1,0.0,274,274
17890,2014-10-02 08:08:00,6184,2014-10-02 08:27:00,6085,1133,1,0.0,275,275
18805,2014-10-02 08:38:00,6184,2014-10-02 08:55:00,6085,1041,1,0.0,275,275
35306,2014-10-03 08:18:00,6184,2014-10-03 08:36:00,6085,1125,1,0.0,276,276
36562,2014-10-03 09:03:00,6184,2014-10-03 09:20:00,6085,1014,1,0.0,276,276
65137,2014-10-06 08:16:00,6184,2014-10-06 08:34:00,6085,1073,1,0.0,279,279
149691,2014-10-14 08:17:00,6184,2014-10-14 08:35:00,6085,1103,1,0.0,287,287
166476,2014-10-15 08:53:00,6184,2014-10-15 09:11:00,6085,1133,1,0.0,288,288
183391,2014-10-16 18:11:00,6184,2014-10-16 18:32:00,6085,1291,1,0.0,289,289
189218,2014-10-17 09:28:00,6184,2014-10-17 09:45:00,6085,1003,1,0.0,290,290
204669,2014-10-18 16:03:00,6184,2014-10-18 16:30:00,6085,1610,1,0.0,291,291
215705,2014-10-20 08:33:00,6184,2014-10-20 08:52:00,6085,1124,1,0.0,293,293
244077,2014-10-23 08:14:00,6184,2014-10-23 08:32:00,6085,1077,1,0.0,296,296
246595,2014-10-23 12:08:00,6184,2014-10-23 12:30:00,6085,1316,1,0.0,296,296
257688,2014-10-24 17:38:00,6184,2014-10-24 18:04:00,6085,1522,1,0.0,297,297
261511,2014-10-25 01:13:00,6184,2014-10-25 01:39:00,6085,1538,1,0.0,298,298
261513,2014-10-25 01:14:00,6184,2014-10-25 01:39:00,6085,1529,1,0.0,298,298
276497,2014-10-27 08:22:00,6184,2014-10-27 08:39:00,6085,988,1,0.0,300,300
310272,2014-10-30 08:15:00,6184,2014-10-30 08:32:00,6085,1022,1,0.0,303,303
